"Type","Données prises en charge par le module","Composant responsable de la donnée","Persistence locale","Persistence BDD métier","Persistence Workspace","Persistence Storage","Persistence BDD techniques","Persistence inventaire ansible"
"métier","Sas d'entrée des SIP (check antivirus et format du SIP)","ingest-external","/vitam/tmp",,,,,
"métier","Fichier de définition d'un référentiel","functional-administration",,,,"REF : X",,
"métier","Référentiels métier : règles de gestion, formats, contrats, contextes, profils de sécurité, …","functional-administration",,"ES + MongoDB",,"REF : X",,
,"certificats SIA & personae","security-internal",,"MongoDB",,,,
"métier","Etat des workflows (en cours, en pause, terminés)","processing",,,"X",,,
,"Définition des workflows de traitement","processing","/vitam/conf",,,,,"REF : X"
"métier","Données en cours de traitement par un processus","worker","/vitam/tmp",,"REF : X",,,
"métier","Registre des fonds","functional-administration",,"ES + MongoDB",,,,
"métier","JOP (Journal des opérations)","logbook",,"ES + MongoDB",,"REF : X",,
"métier","JOP sécurisé (Journal des opérations sécurisé)","logbook (timer systemd)",,,,"REF : X",,
"métier","JCV Unit / ObjectGroup","logbook",,"MongoDB",,"REF : X",,
"métier","JCV sécurisé","logbook (timer systemd)",,,,"REF : X",,
"métier","ArchiveUnit (AU), ObjectGroup (GOT)","metadata",,"ES + MongoDB",,"REF : X",,
"métier","BinaryObject (BDO)","storage",,,,"REF : X",,
"métier","Stratégies de stockage","storage","/vitam/conf",,,,,"REF : X"
"métier","Journal des écritures","storage","REF : /vitam/log",,,,,
"métier","Sécurisation du journal des écritures","storage (timer systemd)",,,,"REF : X",,
"technico-métier","Log des écritures dans une offre de stockage","storage-offer",,,,,"MongoDB (offres)",
"technique","Logs logiciels","(tous)","/vitam/log",,,,"ES (log)",
"technique","Métriques applicatives","(tous)",,,,,"REF : ES (log)",
"technique","Données de configuration (incl. certificats)","(tous)","/vitam/conf",,,,,"REF : X"
